Ticker,Group          ,Breakeven Price,1% at Risk        ,3% at Risk        ,5% at Risk        ,Proposed Price
OCH   ,C              ,760            ,2038.19           ,2505.5699999999997,2792.9500000000003,2040
KDC   ,B              ,40850          ,48595.35          ,50588.1           ,51503.0           ,50600
ONE   ,C              ,2890           ,4317.82           ,4689.0            ,4918.0            ,4320
KDH   ,A              ,22950          ,29021.92          ,30864.88          ,31863.8           ,31850
PAN   ,B              ,10250          ,16543.17          ,18238.34          ,19144.0           ,18250
KHP   ,C              ,3320           ,4454.03           ,4751.09           ,4899.0            ,4450
PBP   ,B              ,2510           ,4228.75           ,4874.0            ,5233.0            ,4870
KMR   ,C              ,1940           ,3584.81           ,4132.8099999999995,4446.0            ,3580
PCG   ,C              ,1400           ,2845.9700000000003,3272.91           ,3506.0            ,2850
KOS   ,B              ,12900          ,18486.96          ,20003.0           ,20766.0           ,20000
PCT   ,A              ,1900           ,3218.89           ,3637.0            ,3876.0            ,3880
KPF   ,B              ,4270           ,7758.39           ,8833.0            ,9396.0            ,8830
PDB   ,B              ,3520           ,5472.0            ,6017.0            ,6311.0            ,6020
KSB   ,B              ,10950          ,17826.76          ,19822.12          ,20854.4           ,19800
PDC   ,C              ,560            ,1434.0            ,1758.11           ,1955.0            ,1430
L10   ,C              ,3520           ,6969.1900000000005,8081.0            ,8654.0            ,6970
PEN   ,D              ,2830           ,4317.0            ,4804.0            ,5031.0            ,2830
LBM   ,A              ,29200          ,43236.44          ,46725.88          ,48916.8           ,48900
PGN   ,C              ,6740           ,10616.04          ,11663.56          ,12308.8           ,10600
LCG   ,C              ,4310           ,7741.85           ,8860.55           ,9553.25           ,7740
PGS   ,C              ,9420           ,13826.15          ,14969.8           ,15663.5           ,13850
LCM   ,B              ,800            ,1406.3600000000001,1591.0            ,1690.0            ,1590
PGT   ,Not enough data,2710           ,4918.0            ,5792.11           ,6318.0            ,Not enough data
LDG   ,B              ,2370           ,3703.0            ,4040.0            ,4225.0            ,4040
PHP   ,A              ,12800          ,19745.41          ,21768.84          ,22755.1           ,22750
