Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
TVD,5970,9970,11400,12150,C,9970
SHI,3370,6780,7860,8440,C,6780
TXM,1080,2370,2830,3100,B,2830
SHP,15400,19300,20350,20900,C,19300
UNI,6210,10400,11700,12350,C,10400
SII,2270,5290,6330,6900,C,5290
V12,1600,5130,6470,7240,C,5130
SJD,13600,16600,17250,17650,A,17650
SJF,4240,7380,8400,8960,B,8400
V21,1100,2960,3660,4090,C,2960
VAT,780,1230,1350,1420,Not enough data,780
SJS,43750,59300,63800,66400,B,63800
VBC,13150,20900,23000,24300,C,20900
SKG,9170,12900,14050,14600,A,14600
SMA,1520,3400,4030,4370,C,3400
VC1,3060,6560,7980,8760,C,6560
SMB,27650,32900,34150,34750,A,34750
VC2,22900,34650,37850,39950,C,34650
VC3,24400,35450,38750,40300,B,38750
SMC,9480,17950,20550,21950,A,21950
SPM,7990,12200,13500,14100,B,13500
VC6,3530,6470,7310,7770,C,6470
VC7,2650,6930,8540,9450,C,6930
SRC,9560,12450,13350,13800,D,9560
SRF,8420,11300,12050,12400,C,11300
VC9,1220,3250,4000,4420,D,1220
SSC,9210,17700,20000,21200,B,20000
VCC,4910,10450,12250,13350,C,10450
ST8,2830,5220,5950,6370,A,6370
VCM,7220,10500,11600,12200,B,11600
STG,13000,18750,20600,21500,A,21500
VCS,57900,75500,79900,82300,A,82300
STK,29250,39450,42600,44200,A,44200
VDL,5360,10800,12400,13250,Not enough data,5360
SVC,16300,35350,41750,45600,B,41750
VE1,790,1920,2360,2630,A,2630
SVD,3260,5820,6600,7010,C,5820
VE2,3760,6040,6800,7210,C,6040
SVI,25150,39900,43550,45550,B,43550
VE3,1460,3870,4770,5270,C,3870
SVT,8040,12500,13650,14350,A,14350
VE4,5330,15450,19550,21900,C,15450
SZC,18300,34800,39900,42600,B,39900
SZL,41350,53000,55700,57400,A,57400
VE8,960,2550,3170,3500,C,2550
TAC,36300,50300,53800,55900,B,53800
VGP,5500,11100,12750,13600,A,13600
TBC,17850,23100,24350,25000,A,25000
VGS,5150,12450,15050,16450,A,16450
TCD,6220,11500,13100,14000,B,13100
VHE,970,2540,3160,3510,B,3160
TCH,7060,11450,12750,13400,A,13400
VHL,8850,13400,14950,15800,B,14950
TCL,20800,28850,30850,32050,A,32050
VIE,2540,4460,5140,5460,C,4460
TCM,30000,42400,46300,48350,B,46300
VIF,8110,11650,12600,13100,A,13100
TCO,4540,8440,9900,10700,A,10700
VIT,2820,6430,7690,8440,C,6430
TCR,1670,3100,3560,3820,C,3100
VKC,2040,4200,5010,5460,C,4200
TCT,24150,31600,33350,34450,A,34450
VLA,8070,22150,27350,30600,A,30600
TDC,4980,9840,11350,12200,D,4980
VMC,10000,15650,17250,18100,C,15650
TDG,2060,4430,5250,5700,C,4430
VMS,3270,6180,7020,7490,B,7020
TDH,2760,4890,5660,6070,A,6070
VNC,11900,20800,23250,24500,A,24500
TDM,21000,27000,28400,29250,A,29250
VNF,4190,9120,10800,11750,A,11750
TDP,12800,16950,18150,18800,C,16950
VNT,3750,13300,17400,19750,B,17400
TDW,13550,22100,24350,25550,A,25550
VSA,9750,15500,17300,18250,A,18250
TEG,3530,6180,7150,7680,A,7680
VSM,9420,15100,16650,17550,A,17550
TGG,6160,11450,13000,14050,A,14050
VTC,5240,8210,9090,9550,C,8210
THG,44550,59100,62800,64700,B,62800
VTH,2720,5500,6310,6750,B,6310
THI,14200,18850,20050,20650,C,18850
VTJ,560,1790,2280,2570,B,2280
VTL,4260,6680,7540,8000,Not enough data,4260
TIP,13900,26000,29900,32000,A,32000
VTV,3130,4880,5430,5730,C,4880
TIX,14950,21050,22750,23650,A,23650
TLD,2160,4430,5170,5560,C,4430
VXB,2730,9050,11550,13000,C,9050
TLG,22700,30350,32300,33300,A,33300
WCS,86300,122800,131100,135400,A,135400
TLH,3930,8080,9420,10150,A,10150
X20,1440,3190,3950,4380,Not enough data,1440
TMP,33900,42900,45500,46700,A,46700
PRE,10750,13950,14900,15350,B,14900
TMS,40550,55800,61000,64200,A,64200
PTI,21500,33500,37550,39550,B,37550
TMT,3250,6750,7890,8500,C,6750
PVI,23650,33200,35550,37000,A,37000
TN1,10150,17400,19500,20650,A,20650
VNR,13500,19550,21100,22050,B,21100
TNA,5920,9690,10650,11200,B,10650
APS,3180,8930,11150,12350,B,11150
TNC,5150,12300,14850,16200,A,16200
ART,940,2730,3470,3870,B,3470
TNH,18450,28400,31050,32700,A,32700
BVS,12950,22500,25150,26600,B,25150
TNI,1500,3190,3760,4080,B,3760
EVS,14500,22900,25400,26650,A,26650
TNT,3280,6400,7450,8120,A,8120
HBS,1520,3870,4730,5200,B,4730
TPC,1730,3770,4450,4820,C,3770
IVS,1780,4600,5620,6200,B,5620
TRA,53100,68600,72200,74400,A,74400
MBS,11700,20300,22750,24150,B,22750
TRC,13950,23750,26650,28100,C,23750
PSI,2180,4840,5930,6550,D,2180
TS4,990,1730,1950,2070,Not enough data,990
